x,y,z,ID,Gi,Hight,Emerge,Hit,Hit.H,Hit.oriant,Hit.size,Hit.stik
54,145,39,121,0,39,0,0,0,55,0.0,1
21,274,39,122,0,39,0,0,0,55,0.0,1
90,295,39,123,0,39,0,0,0,55,0.0,1
49,230,39,124,0,39,0,0,0,55,0.0,1
32,64,39,125,0,39,0,0,0,55,0.0,1
66,133,39,126,0,39,0,0,0,55,0.0,1
36,127,39,127,0,39,0,0,0,55,0.0,1
178,97,39,128,0,39,0,0,0,55,0.0,1
50,258,39,129,0,39,0,0,0,55,0.0,1
164,274,39,130,0,39,0,0,0,55,0.0,1
87,9,39,131,0,39,0,0,0,55,0.0,1
150,344,39,132,0,39,0,0,0,55,0.0,1
146,217,39,133,0,39,0,0,0,55,0.0,1
37,10,39,134,0,39,0,0,0,55,0.0,1
195,296,39,135,0,39,0,0,0,55,0.0,1
49,163,39,136,0,39,0,0,0,55,0.0,1
51,165,39,137,0,39,0,0,0,55,0.0,1
94,142,39,138,0,39,0,0,0,55,0.0,1
36,64,39,139,0,39,0,0,0,55,0.0,1
141,181,39,140,0,39,0,0,0,55,0.0,1
18,218,39,141,0,39,0,0,0,55,0.0,1
90,308,39,142,0,39,0,0,0,55,0.0,1
47,190,39,143,0,39,0,0,0,55,0.0,1
84,168,39,144,0,39,0,0,0,55,0.0,1
179,332,39,145,0,39,0,0,0,55,0.0,1
166,344,39,146,0,39,0,0,0,55,0.0,1
136,11,39,147,0,39,0,0,0,55,0.0,1
54,228,39,148,0,39,0,0,0,55,0.0,1
109,32,39,149,0,39,0,0,0,55,0.0,1
103,99,39,150,0,39,0,0,0,55,0.0,1
104,47,39,151,0,39,0,0,0,55,0.0,1
7,291,39,152,0,39,0,0,0,55,0.0,1
100,175,39,153,0,39,0,0,0,55,0.0,1
10,290,39,154,0,39,0,0,0,55,0.0,1
18,178,39,155,0,39,0,0,0,55,0.0,1
16,293,39,156,0,39,0,0,0,55,0.0,1
71,33,39,157,1,45.7743828275,y,0,0,55,0.0,1
105,101,39,158,0,39,0,0,0,55,0.0,1
55,322,39,159,0,39,0,0,0,55,0.0,1
43,310,39,160,0,39,0,0,0,55,0.0,1
173,8,39,161,0,39,0,0,0,55,0.0,1
155,146,39,162,0,39,0,0,0,55,0.0,1
99,314,39,163,1,39,0,0,0,55,0.0,1
15,179,39,164,0,39,0,0,0,55,0.0,1
145,249,39,165,0,39,0,0,0,55,0.0,1
44,178,39,166,0,39,0,0,0,55,0.0,1
58,80,39,167,0,39,0,0,0,55,0.0,1
97,60,39,168,0,39,0,0,0,55,0.0,1
88,130,39,169,0,39,0,0,0,55,0.0,1
81,155,39,170,0,39,0,0,0,55,0.0,1
43,128,39,171,0,39,0,0,0,55,0.0,1
172,70,39,172,0,39,0,0,0,55,0.0,1
135,318,39,173,0,39,0,0,0,55,0.0,1
165,30,39,174,0,39,0,0,0,55,0.0,1
48,8,39,175,0,39,0,0,0,55,0.0,1
56,348,39,176,0,39,0,0,0,55,0.0,1
72,301,39,177,0,39,0,0,0,55,0.0,1
60,311,39,178,0,39,0,0,0,55,0.0,1
172,330,39,179,0,39,0,0,0,55,0.0,1
159,347,39,180,0,39,0,0,0,55,0.0,1
60,262,39,181,0,39,0,0,0,55,0.0,1
60,57,39,182,0,39,0,0,0,55,0.0,1
149,253,39,183,0,39,0,0,0,55,0.0,1
120,244,39,184,0,39,0,0,0,55,0.0,1
158,269,39,185,0,39,0,0,0,55,0.0,1
15,339,39,186,0,39,0,0,0,55,0.0,1
119,236,39,187,0,39,0,0,0,55,0.0,1
37,239,39,188,0,39,0,0,0,55,0.0,1
57,306,39,189,0,39,0,0,0,55,0.0,1
19,188,39,190,0,39,0,0,0,55,0.0,1
102,179,39,191,0,39,0,0,0,55,0.0,1
118,305,39,192,0,39,0,0,0,55,0.0,1
63,349,39,193,0,39,0,0,0,55,0.0,1
88,261,39,194,0,39,0,0,0,55,0.0,1
108,326,39,195,0,39,0,0,0,55,0.0,1
135,50,39,196,0,39,0,0,0,55,0.0,1
131,224,39,197,0,39,0,0,0,55,0.0,1
137,134,39,198,0,39,0,0,0,55,0.0,1
188,354,39,199,0,39,0,0,0,55,0.0,1
15,27,39,200,0,39,0,0,0,55,0.0,1
